"id,""note"",""commentaire"""
"913,""1"",""Une attente interminable aux urgences aujourd hui, le retard est vraiment inadmissible. [Suivi dossier #8689] [Suivi dossier #2882] - Ref: 2043"""
"914,""1"",""Le temps d'attente est beaucoup trop long, plus de 3h de retard pour mon rendez-vous. [Suivi dossier #9755] [Suivi dossier #9199] - Ref: 9691"""
"915,""2"",""Trop d'attente à l'accueil. Les secrétaires sont débordées et le retard s'accumule. [Suivi dossier #2709] [Suivi dossier #7348] - Ref: 2328"""
"916,""1"",""Inadmissible, j'ai attendu des heures dans le couloir sans aucune information. [Suivi dossier #4281] [Suivi dossier #9146] - Ref: 2568"""
"917,""5"",""Prise en charge immédiate ! Pas une minute d'attente, service très fluide. [Suivi dossier #3279] [Suivi dossier #3686] - Ref: 5857"""
"918,""4"",""Un peu de retard pour la consultation, mais l'équipe médicale est excellente. [Suivi dossier #3551] [Suivi dossier #991] - Ref: 1579"""
"919,""5"",""Les infirmières ont été adorables et le médecin très à l'écoute. Merci à l'équipe. [Suivi dossier #7920] [Suivi dossier #3900] - Ref: 324"""
"920,""5"",""Un personnel soignant au top, d'une gentillesse incroyable et très professionnel. [Suivi dossier #8949] [Suivi dossier #6526] - Ref: 6884"""
"921,""4"",""Médecin très compétent, mais l'accueil à l'entrée pourrait être plus souriant. [Suivi dossier #983] [Suivi dossier #932] - Ref: 3449"""
"922,""2"",""Le médecin était très froid et distant. Manque total d'empathie du personnel. [Suivi dossier #8068] [Suivi dossier #5082] - Ref: 6595"""
"923,""1"",""Une infirmière m'a parlé de façon très agressive. Accueil déplorable. [Suivi dossier #7392] [Suivi dossier #2614] - Ref: 2626"""
"924,""2"",""La chambre était sale et le repas vraiment pas bon, mais le personnel reste sympa. [Suivi dossier #2755] [Suivi dossier #7824] - Ref: 3347"""
"925,""1"",""La propreté des locaux laisse à désirer, poussière partout et douche froide. [Suivi dossier #1599] [Suivi dossier #1279] - Ref: 8858"""
"926,""5"",""Très bon accueil, locaux propres, neufs et repas corrects pour un hôpital. [Suivi dossier #9732] [Suivi dossier #2922] - Ref: 4251"""
"927,""3"",""Repas tiède et chambre bruyante à côté de l'ascenseur, mais soins de qualité. [Suivi dossier #3865] [Suivi dossier #774] - Ref: 4680"""
"928,""4"",""Infirmière au top, très douce. Dommage que la chambre soit si mal isolée. [Suivi dossier #129] [Suivi dossier #5106] - Ref: 647"""
"929,""1"",""Une attente interminable aux urgences aujourd hui, le retard est vraiment inadmissible. - Ref: 9052 [Suivi dossier #3207] - Ref: 9196"""
"930,""1"",""Le temps d'attente est beaucoup trop long, plus de 3h de retard pour mon rendez-vous. - Ref: 4871 [Suivi dossier #716] - Ref: 4041"""
"931,""2"",""Trop d'attente à l'accueil. Les secrétaires sont débordées et le retard s'accumule. - Ref: 7199 [Suivi dossier #3961] - Ref: 2614"""
"932,""1"",""Inadmissible, j'ai attendu des heures dans le couloir sans aucune information. - Ref: 1382 [Suivi dossier #7659] - Ref: 951"""
"933,""5"",""Prise en charge immédiate ! Pas une minute d'attente, service très fluide. - Ref: 5315 [Suivi dossier #6410] - Ref: 6913"""
"934,""4"",""Un peu de retard pour la consultation, mais l'équipe médicale est excellente. - Ref: 2427 [Suivi dossier #9074] - Ref: 1714"""
"935,""5"",""Les infirmières ont été adorables et le médecin très à l'écoute. Merci à l'équipe. - Ref: 6193 [Suivi dossier #6139] - Ref: 7830"""
"936,""5"",""Un personnel soignant au top, d'une gentillesse incroyable et très professionnel. - Ref: 3685 [Suivi dossier #3474] - Ref: 4009"""
"937,""4"",""Médecin très compétent, mais l'accueil à l'entrée pourrait être plus souriant. - Ref: 9846 [Suivi dossier #8953] - Ref: 6554"""
"938,""2"",""Le médecin était très froid et distant. Manque total d'empathie du personnel. - Ref: 8176 [Suivi dossier #4345] - Ref: 745"""
"939,""1"",""Une infirmière m'a parlé de façon très agressive. Accueil déplorable. - Ref: 1341 [Suivi dossier #4865] - Ref: 4065"""
"940,""2"",""La chambre était sale et le repas vraiment pas bon, mais le personnel reste sympa. - Ref: 2180 [Suivi dossier #1293] - Ref: 8089"""
"941,""1"",""La propreté des locaux laisse à désirer, poussière partout et douche froide. - Ref: 6875 [Suivi dossier #1870] - Ref: 8249"""
"942,""5"",""Très bon accueil, locaux propres, neufs et repas corrects pour un hôpital. - Ref: 7836 [Suivi dossier #5472] - Ref: 6980"""
"943,""3"",""Repas tiède et chambre bruyante à côté de l'ascenseur, mais soins de qualité. - Ref: 8554 [Suivi dossier #1749] - Ref: 152"""
"944,""4"",""Infirmière au top, très douce. Dommage que la chambre soit si mal isolée. - Ref: 9266 [Suivi dossier #2329] - Ref: 9822"""
"945,""1"",""Une attente interminable aux urgences aujourd hui, le retard est vraiment inadmissible. [Suivi dossier #8689] - Ref: 666 [Suivi dossier #6400] - Ref: 8655"""
"946,""1"",""Le temps d'attente est beaucoup trop long, plus de 3h de retard pour mon rendez-vous. [Suivi dossier #9755] - Ref: 5534 [Suivi dossier #5015] - Ref: 3811"""
"947,""2"",""Trop d'attente à l'accueil. Les secrétaires sont débordées et le retard s'accumule. [Suivi dossier #2709] - Ref: 5671 [Suivi dossier #5873] - Ref: 3088"""
"948,""1"",""Inadmissible, j'ai attendu des heures dans le couloir sans aucune information. [Suivi dossier #4281] - Ref: 1754 [Suivi dossier #4322] - Ref: 4009"""
"949,""5"",""Prise en charge immédiate ! Pas une minute d'attente, service très fluide. [Suivi dossier #3279] - Ref: 1759 [Suivi dossier #3993] - Ref: 783"""
"950,""4"",""Un peu de retard pour la consultation, mais l'équipe médicale est excellente. [Suivi dossier #3551] - Ref: 3532 [Suivi dossier #6997] - Ref: 1887"""
"951,""5"",""Les infirmières ont été adorables et le médecin très à l'écoute. Merci à l'équipe. [Suivi dossier #7920] - Ref: 2385 [Suivi dossier #3009] - Ref: 7085"""
"952,""5"",""Un personnel soignant au top, d'une gentillesse incroyable et très professionnel. [Suivi dossier #8949] - Ref: 1329 [Suivi dossier #4052] - Ref: 9766"""
"953,""4"",""Médecin très compétent, mais l'accueil à l'entrée pourrait être plus souriant. [Suivi dossier #983] - Ref: 9489 [Suivi dossier #1236] - Ref: 7575"""
"954,""2"",""Le médecin était très froid et distant. Manque total d'empathie du personnel. [Suivi dossier #8068] - Ref: 3461 [Suivi dossier #4022] - Ref: 8579"""
"955,""1"",""Une infirmière m'a parlé de façon très agressive. Accueil déplorable. [Suivi dossier #7392] - Ref: 8839 [Suivi dossier #6403] - Ref: 171"""
"956,""2"",""La chambre était sale et le repas vraiment pas bon, mais le personnel reste sympa. [Suivi dossier #2755] - Ref: 3813 [Suivi dossier #9951] - Ref: 5118"""
"957,""1"",""La propreté des locaux laisse à désirer, poussière partout et douche froide. [Suivi dossier #1599] - Ref: 2546 [Suivi dossier #548] - Ref: 5077"""
"958,""5"",""Très bon accueil, locaux propres, neufs et repas corrects pour un hôpital. [Suivi dossier #9732] - Ref: 1291 [Suivi dossier #2884] - Ref: 31"""
"959,""3"",""Repas tiède et chambre bruyante à côté de l'ascenseur, mais soins de qualité. [Suivi dossier #3865] - Ref: 8817 [Suivi dossier #2778] - Ref: 4926"""
"960,""4"",""Infirmière au top, très douce. Dommage que la chambre soit si mal isolée. [Suivi dossier #129] - Ref: 213 [Suivi dossier #5238] - Ref: 4539"""
"961,""1"",""Une attente interminable aux urgences aujourd hui, le retard est vraiment inadmissible. [Suivi dossier #7855] - Ref: 7914"""
"962,""1"",""Le temps d'attente est beaucoup trop long, plus de 3h de retard pour mon rendez-vous. [Suivi dossier #3562] - Ref: 5954"""
"963,""2"",""Trop d'attente à l'accueil. Les secrétaires sont débordées et le retard s'accumule. [Suivi dossier #4244] - Ref: 6029"""
"964,""1"",""Inadmissible, j'ai attendu des heures dans le couloir sans aucune information. [Suivi dossier #536] - Ref: 2284"""
"965,""5"",""Prise en charge immédiate ! Pas une minute d'attente, service très fluide. [Suivi dossier #9950] - Ref: 3333"""
"966,""4"",""Un peu de retard pour la consultation, mais l'équipe médicale est excellente. [Suivi dossier #8140] - Ref: 9813"""
"967,""5"",""Les infirmières ont été adorables et le médecin très à l'écoute. Merci à l'équipe. [Suivi dossier #853] - Ref: 9067"""
"968,""5"",""Un personnel soignant au top, d'une gentillesse incroyable et très professionnel. [Suivi dossier #9844] - Ref: 5895"""
"969,""4"",""Médecin très compétent, mais l'accueil à l'entrée pourrait être plus souriant. [Suivi dossier #6661] - Ref: 2274"""
"970,""2"",""Le médecin était très froid et distant. Manque total d'empathie du personnel. [Suivi dossier #3772] - Ref: 3685"""
"971,""1"",""Une infirmière m'a parlé de façon très agressive. Accueil déplorable. [Suivi dossier #8880] - Ref: 1603"""
"972,""2"",""La chambre était sale et le repas vraiment pas bon, mais le personnel reste sympa. [Suivi dossier #3083] - Ref: 6962"""
"973,""1"",""La propreté des locaux laisse à désirer, poussière partout et douche froide. [Suivi dossier #8778] - Ref: 2"""
"974,""5"",""Très bon accueil, locaux propres, neufs et repas corrects pour un hôpital. [Suivi dossier #4640] - Ref: 9122"""
"975,""3"",""Repas tiède et chambre bruyante à côté de l'ascenseur, mais soins de qualité. [Suivi dossier #6868] - Ref: 5605"""
"976,""4"",""Infirmière au top, très douce. Dommage que la chambre soit si mal isolée. [Suivi dossier #420] - Ref: 661"""
"977,""1"",""Une attente interminable aux urgences aujourd hui, le retard est vraiment inadmissible. [Suivi dossier #8689] [Suivi dossier #1495] - Ref: 6491"""
"978,""1"",""Le temps d'attente est beaucoup trop long, plus de 3h de retard pour mon rendez-vous. [Suivi dossier #9755] [Suivi dossier #6217] - Ref: 473"""
"979,""2"",""Trop d'attente à l'accueil. Les secrétaires sont débordées et le retard s'accumule. [Suivi dossier #2709] [Suivi dossier #6602] - Ref: 2890"""
"980,""1"",""Inadmissible, j'ai attendu des heures dans le couloir sans aucune information. [Suivi dossier #4281] [Suivi dossier #4356] - Ref: 3031"""
"981,""5"",""Prise en charge immédiate ! Pas une minute d'attente, service très fluide. [Suivi dossier #3279] [Suivi dossier #1976] - Ref: 6485"""
"982,""4"",""Un peu de retard pour la consultation, mais l'équipe médicale est excellente. [Suivi dossier #3551] [Suivi dossier #6814] - Ref: 3332"""
"983,""5"",""Les infirmières ont été adorables et le médecin très à l'écoute. Merci à l'équipe. [Suivi dossier #7920] [Suivi dossier #8141] - Ref: 7206"""
"984,""5"",""Un personnel soignant au top, d'une gentillesse incroyable et très professionnel. [Suivi dossier #8949] [Suivi dossier #262] - Ref: 6036"""
"985,""4"",""Médecin très compétent, mais l'accueil à l'entrée pourrait être plus souriant. [Suivi dossier #983] [Suivi dossier #6890] - Ref: 8563"""
"986,""2"",""Le médecin était très froid et distant. Manque total d'empathie du personnel. [Suivi dossier #8068] [Suivi dossier #3664] - Ref: 4707"""
"987,""1"",""Une infirmière m'a parlé de façon très agressive. Accueil déplorable. [Suivi dossier #7392] [Suivi dossier #7649] - Ref: 7848"""
"988,""2"",""La chambre était sale et le repas vraiment pas bon, mais le personnel reste sympa. [Suivi dossier #2755] [Suivi dossier #7255] - Ref: 5118"""
"989,""1"",""La propreté des locaux laisse à désirer, poussière partout et douche froide. [Suivi dossier #1599] [Suivi dossier #3329] - Ref: 2047"""
"990,""5"",""Très bon accueil, locaux propres, neufs et repas corrects pour un hôpital. [Suivi dossier #9732] [Suivi dossier #4880] - Ref: 4879"""
"991,""3"",""Repas tiède et chambre bruyante à côté de l'ascenseur, mais soins de qualité. [Suivi dossier #3865] [Suivi dossier #4415] - Ref: 8257"""
"992,""4"",""Infirmière au top, très douce. Dommage que la chambre soit si mal isolée. [Suivi dossier #129] [Suivi dossier #7435] - Ref: 6649"""
"993,""1"",""Une attente interminable aux urgences aujourd hui, le retard est vraiment inadmissible. - Ref: 9052 [Suivi dossier #3931] - Ref: 8474"""
"994,""1"",""Le temps d'attente est beaucoup trop long, plus de 3h de retard pour mon rendez-vous. - Ref: 4871 [Suivi dossier #7348] - Ref: 2421"""
"995,""2"",""Trop d'attente à l'accueil. Les secrétaires sont débordées et le retard s'accumule. - Ref: 7199 [Suivi dossier #4948] - Ref: 6687"""
"996,""1"",""Inadmissible, j'ai attendu des heures dans le couloir sans aucune information. - Ref: 1382 [Suivi dossier #2696] - Ref: 6170"""
"997,""5"",""Prise en charge immédiate ! Pas une minute d'attente, service très fluide. - Ref: 5315 [Suivi dossier #8638] - Ref: 791"""
"998,""4"",""Un peu de retard pour la consultation, mais l'équipe médicale est excellente. - Ref: 2427 [Suivi dossier #5101] - Ref: 5445"""
"999,""5"",""Les infirmières ont été adorables et le médecin très à l'écoute. Merci à l'équipe. - Ref: 6193 [Suivi dossier #9590] - Ref: 4854"""
"1000,""5"",""Un personnel soignant au top, d'une gentillesse incroyable et très professionnel. - Ref: 3685 [Suivi dossier #2651] - Ref: 7936"""
"1001,""4"",""Médecin très compétent, mais l'accueil à l'entrée pourrait être plus souriant. - Ref: 9846 [Suivi dossier #4485] - Ref: 5119"""
"1002,""2"",""Le médecin était très froid et distant. Manque total d'empathie du personnel. - Ref: 8176 [Suivi dossier #4471] - Ref: 1788"""
"1003,""1"",""Une infirmière m'a parlé de façon très agressive. Accueil déplorable. - Ref: 1341 [Suivi dossier #8901] - Ref: 3581"""
"1004,""2"",""La chambre était sale et le repas vraiment pas bon, mais le personnel reste sympa. - Ref: 2180 [Suivi dossier #1093] - Ref: 2541"""
"1005,""1"",""La propreté des locaux laisse à désirer, poussière partout et douche froide. - Ref: 6875 [Suivi dossier #8762] - Ref: 1961"""
"1006,""5"",""Très bon accueil, locaux propres, neufs et repas corrects pour un hôpital. - Ref: 7836 [Suivi dossier #531] - Ref: 2186"""
"1007,""3"",""Repas tiède et chambre bruyante à côté de l'ascenseur, mais soins de qualité. - Ref: 8554 [Suivi dossier #6369] - Ref: 5046"""
"1008,""4"",""Infirmière au top, très douce. Dommage que la chambre soit si mal isolée. - Ref: 9266 [Suivi dossier #253] - Ref: 8674"""
"1009,""1"",""Une attente interminable aux urgences aujourd hui, le retard est vraiment inadmissible. [Suivi dossier #8689] - Ref: 666 [Suivi dossier #2157] - Ref: 8234"""
"1010,""1"",""Le temps d'attente est beaucoup trop long, plus de 3h de retard pour mon rendez-vous. [Suivi dossier #9755] - Ref: 5534 [Suivi dossier #28] - Ref: 5145"""
"1011,""2"",""Trop d'attente à l'accueil. Les secrétaires sont débordées et le retard s'accumule. [Suivi dossier #2709] - Ref: 5671 [Suivi dossier #3671] - Ref: 1026"""
"1012,""1"",""Inadmissible, j'ai attendu des heures dans le couloir sans aucune information. [Suivi dossier #4281] - Ref: 1754 [Suivi dossier #8271] - Ref: 9696"""
